"","type","dataverse","classifier","specification","preprocessing","tested_class","alternative_class","accuracy","aucroc","precision","recall","f1","sd_accuracy","sd_aucroc","sd_precision","sd_recall","sd_f1","ent","sd_ent","classifier_rf","classifier_rf_rag","classifier_ds","classifier_sm","dataverse_full","dataverse_gtca","dataverse_gtall","dataverse_srca","dataverse_srall","type_allvall","type_onevall","type_onevone","specification_cls","specification_mean","specification_MAX","specification_def","specification_ex","specification_both","preprocessing_none","preprocessing_pre","preprocessing_norm","preprocessing_top200","onevone_casi","onevone_caen","onevone_cagm","onevone_ensi","onevone_engm","onevone_sigm","onevall_ca","onevall_si","onevall_en","onevall_gm","allvall_ca","allvall_si","allvall_en","allvall_gm","One vs. One","One vs. All","All vs. All"
"1","All vs. All","Full Data","Deepseek R1","Definitions","None","CA","n.a.",0.774987595038015,0.579014563652722,0.466666666666667,0.0515151515151515,0.0907692307692308,0.0178905817658641,0.0807242140123642,0.505525029603437,0.0471282758030175,0.0837092114653768,0.537892153789491,0.0201296597540028,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"2","All vs. All","Full Data","Deepseek R1","Definitions","None","SI","n.a.",0.770993628220519,0.67931309345783,0.615079365079365,0.35,0.411559139784946,0.0388804386199392,0.0614641300817351,0.135153860047035,0.169938303380815,0.101514360250327,0.578327419508284,0.0153844577701432,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"3","All vs. All","Full Data","Deepseek R1","Definitions","None","EN","n.a.",0.549133561116754,0.578467435046382,0.28800871459695,0.484615384615385,0.358782051282051,0.0659238050811904,0.0577350811468525,0.0853715895100935,0.191221421838736,0.118785268474566,0.515519313210993,0.0107229319494657,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"4","All vs. All","Full Data","Deepseek R1","Definitions","None","GM","n.a.",0.616650906516453,0.62760956445167,0.338254746342982,0.485714285714286,0.393092501368363,0.0550974222539525,0.0897829756176407,0.0603332555289977,0.161766304146902,0.074984142933516,0.523386161620364,0.0246145724464589,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"5","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","CA","n.a.",0.668181118601287,0.576944862119766,0.188095238095238,0.156060606060606,0.168376068376068,0.0420856558702716,0.0552338169058009,0.125537393585372,0.113079443376032,0.116025444271134,0.563579581839177,0.0101595466882934,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"6","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","SI","n.a.",0.648554806538,0.61454723954724,0.300312432665374,0.306410256410256,0.300989010989011,0.0674442216331003,0.0439226450638453,0.0855792148352213,0.0871181911209973,0.0821868565316104,0.574259517727407,0.00792658393113072,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"7","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","EN","n.a.",0.608877397112691,0.630518256834046,0.296987179487179,0.33956043956044,0.307523497462646,0.0964765485088855,0.0804455818253423,0.115012101086781,0.199716016231134,0.149882834031185,0.562872599502669,0.015603845534212,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"8","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","GM","n.a.",0.652334780065873,0.570884187787022,0.330952380952381,0.336263736263736,0.326202423621778,0.0294813026898215,0.105610472091882,0.0535052501291529,0.121028878261612,0.0857722295571647,0.550255707094284,0.00891975600376969,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"9","All vs. All","Full Data","Random Forest","CLS","None","CA","n.a.",0.743058823529412,0.580072588230483,0.419047619047619,0.159090909090909,0.224227234753551,0.0651514073704701,0.087472766057433,0.334012912700003,0.0772578714180725,0.125038127320909,0.521609340896335,0.00594103829515406,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"10","All vs. All","Full Data","Random Forest","CLS","None","SI","n.a.",0.695450980392157,0.667633828160144,0.388752913752914,0.419230769230769,0.401045884871972,0.0425120468260046,0.0911778174694865,0.0856961431838749,0.100704291726438,0.0865772587666338,0.518554386244345,0.00455950655275344,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"11","All vs. All","Full Data","Random Forest","CLS","None","EN","n.a.",0.703607843137255,0.697894076841445,0.451645299145299,0.510989010989011,0.478696475937855,0.0477308228448088,0.095054844719949,0.096830112356246,0.118991251800592,0.105033278643174,0.509203721449427,0.00456093989239112,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"12","All vs. All","Full Data","Random Forest","CLS","None","GM","n.a.",0.672,0.657619620777516,0.399676274018379,0.5,0.443199233716475,0.0288103211033151,0.0720327912900815,0.0314949966069109,0.0384615384615384,0.024980886066707,0.505251650346648,0.00374178453108703,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
